,Airport,City,State,IATA,Latitude,Longitude,Acre
199,Chippewa County International Airport,Sault Ste. Marie,Michigan,CIU,46.2508,-84.4725,1850.0
200,Cherry Capital Airport,Traverse City,Michigan,TVC,44.7417,-85.5822,1026.0
201,Bemidji Regional Airport,Bemidji,Minnesota,BJI,47.510833,-94.934722,1740.0
202,Brainerd Lakes Regional Airport,Brainerd,Minnesota,BRD,46.4022,-94.1356,2597.0
203,Duluth International Airport,Duluth,Minnesota,DLH,46.8422,-92.1936,2384.0
204,Range Regional Airport,Hibbing,Minnesota,HIB,47.3867,-92.8389,1600.0
205,Falls International Airport,International Falls,Minnesota,INL,48.5656,-93.4022,681.0
206,Minneapolis–St. Paul International Airport,Minneapolis,Minnesota,MSP,44.8819,-93.2217,2930.0
207,Rochester International Airport,Rochester,Minnesota,RST,43.1189,-77.6725,2400.0
208,St. Cloud Regional Airport,St. Cloud,Minnesota,STC,45.5467,-94.06,1414.0
209,Golden Triangle Regional Airport,Columbus,Mississippi,GTR,33.4483,-88.5914,1000.0
210,Gulfport–Biloxi International Airport,Gulfport,Mississippi,GPT,30.4072,-89.07,1400.0
211,Jackson–Evers International Airport,Jackson,Mississippi,JAN,33.6367,-84.4281,3381.0
212,Key Field Airport,Meridian,Mississippi,MEI,32.3325,-88.7519,1000.0
213,Tupelo Regional Airport,Tupelo,Mississippi,TUP,34.2681,-88.77,1061.0
214,Columbia Regional Airport,Columbia,Missouri,COU,38.8181,-92.2197,1538.0
215,Joplin Regional Airport,Joplin,Missouri,JLN,37.1517,-94.4983,970.0
216,Kansas City International Airport,Kansas City,Missouri,MCI,39.2975,-94.7139,10680.0
217,Springfield-Branson National Airport,Springfield,Missouri,SGF,37.2456,-93.3886,2384.0
218,St. Louis Lambert International Airport,St. Louis,Missouri,STL,38.7472,-90.3614,2384.0
219,Billings Logan International Airport,Billings,Montana,BIL,45.8078,-108.5428,2300.0
220,Bozeman Yellowstone International Airport,Bozeman,Montana,BZN,45.777,-111.152,2481.0
221,Bert Mooney Airport,Butte,Montana,BTM,45.9547,-112.4975,890.0
222,Great Falls International Airport,Great Falls,Montana,GTF,47.4828,-111.3706,2384.0
223,Helena Regional Airport,Helena,Montana,HLN,46.6067,-111.9828,1224.0
224,Glacier Park International Airport,Kalispell,Montana,FCA,48.1978,-114.3161,1525.0
225,Missoula International Airport,Missoula,Montana,MSO,46.9164,-114.0906,2700.0
226,Sidney–Richland Municipal Airport,Sidney,Montana,SDY,47.7069,-104.1925,335.0
227,Yellowstone Airport,West Yellowstone,Montana,WYS,44.6883,-111.1178,735.0
228,Central Nebraska Regional Airport,Grand Island,Nebraska,GRI,40.9675,-98.3097,1847.0
229,Lincoln Airport,Lincoln,Nebraska,LNK,40.8511,-96.7592,2384.0
230,Eppley Airfield,Omaha,Nebraska,OMA,41.3012,-95.8954,2384.0
231,Boulder City Municipal Airport,Boulder City,Nevada,BLD,35.9472,-114.8603,530.0
232,Elko Regional Airport,Elko,Nevada,EKO,40.825,-115.7917,700.0
233,McCarran International Airport,Las Vegas,Nevada,LAS,36.08,-115.1522,2800.0
234,North Las Vegas Airport,Las Vegas,Nevada,VGT,36.2106,-115.1944,920.0
235,Reno/Tahoe International Airport,Reno,Nevada,RNO,39.4992,-119.7681,1450.0
236,Lebanon Municipal Airport,Lebanon,New Hampshire,LEB,43.6261,-72.3042,2384.0
237,Manchester–Boston Regional Airport,Manchester,New Hampshire,MHT,42.9325,-71.4356,1500.0
238,Portsmouth International Airport at Pease,Portsmouth,New Hampshire,PSM,43.0781,-70.8233,3000.0
239,Atlantic City International Airport,Atlantic City,New Jersey,ACY,39.4575,-74.5772,2384.0
240,Newark Liberty International Airport,Newark,New Jersey,EWR,40.6925,-74.1686,2384.0
241,Trenton Mercer Airport,Trenton,New Jersey,TTN,40.2767,-74.8133,1345.0
242,Albuquerque International Sunport,Albuquerque,New Mexico,ABQ,35.1108,-106.61,2384.0
243,Lea County Regional Airport,Hobbs,New Mexico,HOB,32.6875,-103.2169,898.0
244,Roswell International Air Center,Roswell,New Mexico,ROW,33.3016,-104.5306,5029.0
245,Santa Fe Regional Airport,Santa Fe,New Mexico,SAF,35.6172,-106.0894,2128.0
246,Albany International Airport,Albany,New York,ALB,42.749167,-73.801944,1000.0
247,Greater Binghamton Airport,Binghamton,New York,BGM,42.2086,-75.9797,1199.0
248,Buffalo Niagara International Airport,Buffalo,New York,BUF,43.1072,-78.9461,1000.0
249,Elmira/Corning Regional Airport,Elmira,New York,ELM,42.0939,-76.8097,1000.0
250,Republic Airport,Farmingdale,New York,FRG,40.7289,-73.4133,2384.0
251,Long Island MacArthur Airport,Islip,New York,ISP,40.795278,-73.100278,1311.0
252,Ithaca Tompkins Regional Airport,Ithaca,New York,ITH,42.4914,-76.4586,531.0
253,John F. Kennedy International Airport,New York,New York,JFK,40.6397,-73.7789,2384.0
254,LaGuardia Airport,New York,New York,LGA,40.775,-73.875,2384.0
255,Stewart International Airport,Newburgh,New York,SWF,41.5042,-74.1047,2384.0
256,Niagara Falls International Airport,Niagara Falls,New York,IAG,43.1072,-78.9461,1067.0
257,Plattsburgh International Airport,Plattsburgh,New York,PBG,44.6508,-73.4681,1912.0
258,Greater Rochester International Airport,Rochester,New York,ROC,43.1189,-77.6725,1136.0
259,Syracuse Hancock International Airport,Syracuse,New York,SYR,43.1111,-76.1064,2000.0
260,Watertown International Airport,Watertown,New York,ART,43.9919,-76.0206,1060.0
261,Westchester County Airport,White Plains,New York,HPN,41.0669,-73.7075,702.0
262,Asheville Regional Airport,Asheville,North Carolina,AVL,35.4361,-82.5417,900.0
263,Charlotte/Douglas International Airport,Charlotte,North Carolina,CLT,35.2139,-80.9431,5558.0
264,Concord Regional Airport,Concord,North Carolina,USA,35.387778,-80.709167,750.0
265,Fayetteville Regional Airport,Fayetteville,North Carolina,FAY,34.9911,-78.8803,1343.0
266,Piedmont Triad International Airport,Greensboro,North Carolina,GSO,35.9557,-80.0053,2384.0
267,Pitt-Greenville Airport,Greenville,North Carolina,PGV,35.59,-77.38,872.0
268,Hickory Regional Airport,Hickory,North Carolina,HKY,35.7411,-81.3894,739.0
269,Albert J. Ellis Airport,Jacksonville,North Carolina,OAJ,34.8292,-77.6122,675.0
270,Kinston Regional Jetport At Stallings Field Airport,Kinston,North Carolina,ISO,35.3314,-77.6089,2384.0
271,Coastal Carolina Regional Airport,New Bern,North Carolina,EWN,35.0731,-77.0431,785.0
272,Moore County Airport,Pinehurst,North Carolina,SOP,35.2372,-79.3911,2384.0
273,Raleigh-Durham International Airport,Raleigh,North Carolina,RDU,35.88,-78.79,5000.0
274,Wilmington International Airport,Wilmington,North Carolina,ILM,34.2706,-77.9025,1800.0
275,Bismarck Municipal Airport,Bismarck,North Dakota,BIS,46.7728,-100.7458,2425.0
276,Dickinson Theodore Roosevelt Regional Airport,Dickinson,North Dakota,DIK,46.7972,-102.8019,626.0
277,Hector International Airport,Fargo,North Dakota,FAR,46.8772,-96.7894,2500.0
278,Grand Forks International Airport,Grand Forks,North Dakota,GFK,47.9492,-97.1761,1618.0
279,Minot International Airport,Minot,North Dakota,MOT,48.2578,-101.2781,1563.0
280,Sloulin Field International Airport,Williston,North Dakota,ISN,48.1781,-103.6422,2384.0
281,Akron-Canton Regional Airport,Akron,Ohio,CAK,40.915,-81.4437,2384.0
282,Cincinnati Municipal Lunken Airport,Cincinnati,Ohio,LUK,39.1033,-84.4186,1140.0
283,Cleveland-Hopkins International Airport,Cleveland,Ohio,CLE,41.4117,-81.8497,1717.0
284,John Glenn Columbus International Airport,Columbus,Ohio,CMH,39.9981,-82.8919,2384.0
285,Rickenbacker International Airport,Columbus,Ohio,LCK,39.9981,-82.8919,4342.0
286,James M. Cox Dayton International Airport,Dayton,Ohio,DAY,39.9022,-84.2194,4200.0
287,Toledo Express Airport,Toledo,Ohio,TOL,41.5868,-83.8078,2345.0
288,Youngstown-Warren Regional Airport,Youngstown,Ohio,YNG,41.260833,-80.679167,1468.0
289,Lawton–Fort Sill Regional Airport,Lawton,Oklahoma,LAW,34.5678,-98.4164,1300.0
290,Will Rogers World Airport,Oklahoma City,Oklahoma,OKC,35.393056,-97.600833,2384.0
291,Tulsa International Airport,Tulsa,Oklahoma,TUL,36.1983,-95.8881,2384.0
292,Eugene Airport,Eugene,Oregon,EUG,44.0519,-123.0867,2600.0
293,Rogue Valley International-Medford Airport,Medford,Oregon,MFR,42.3742,-122.8736,905.0
294,Southwest Oregon Regional Airport,North Bend,Oregon,OTH,43.4172,-124.2628,619.0
295,Portland International Airport,Portland,Oregon,PDX,45.5886,-122.5975,3000.0
296,Redmond Municipal Airport,Redmond,Oregon,RDM,44.2542,-121.1497,2518.0
297,McNary Field Airport ,Salem,Oregon,SLE,44.9094,-123.0025,751.0
298,Lehigh Valley International Airport,Allentown,Pennsylvania,ABE,40.6523,-75.4405,2278.0
299,Erie International Airport,Erie,Pennsylvania,ERI,42.0831,-80.1819,2384.0
300,Arnold Palmer Regional Airport,Latrobe,Pennsylvania,LBE,40.2747,-79.4067,945.0
301,Harrisburg International Airport,Middletown,Pennsylvania,MDT,40.1931,-76.7633,680.0
302,Philadelphia International Airport,Philadelphia,Pennsylvania,PHL,39.8719,-75.2411,2302.0
303,Pittsburgh International Airport,Pittsburgh,Pennsylvania,PIT,40.496,-80.246,10000.0
304,University Park Airport,State College,Pennsylvania,SCE,40.849167,-77.848611,1091.0
305,Wilkes-Barre/Scranton International Airport,Wilkes-Barre,Pennsylvania,AVP,41.251,-75.906,23.0
306,Williamsport Regional Airport,Williamsport,Pennsylvania,IPT,41.2417,-76.9217,2384.0
307,Rafael Hernández International Airport,Aguadilla,Puerto Rico,BQN,18.495,-67.1294,2384.0
308,José Aponte de la Torre Airport,Ceiba,Puerto Rico,NRR,18.2453,-65.6433,1646.0
309,Benjamín Rivera Noriega Airport,Culebra,Puerto Rico,CPX,18.3133,-65.3044,2384.0
310,Mercedita International Airport,Ponce,Puerto Rico,PSE,18.0083,-66.5631,274.0
311,Fernando Luis Ribas Dominicci Airport,San Juan,Puerto Rico,SIG,18.4567,-66.0983,102.0
312,Luis Muñoz Marín International Airport,San Juan,Puerto Rico,SJU,18.4392,-66.0019,1600.0
313,Antonio Rivera Rodríguez Airport,Vieques,Puerto Rico,VQS,18.1347,-65.4939,124.0
314,Block Island State Airport,Block Island,Rhode Island,BID,41.1681,-71.5778,136.0
315,Theodore Francis Green State Airport,Providence,Rhode Island,PVD,41.7239,-71.4283,2384.0
316,Westerly State Airport,Westerly,Rhode Island,WST,41.3497,-71.8033,321.0
317,Charleston International Airport / Charleston AFB,Charleston,South Carolina,CHS,32.8986,-80.0406,2384.0
318,Columbia Metropolitan Airport,Columbia,South Carolina,CAE,33.937,-81.1053,2600.0
319,Florence Regional Airport,Florence,South Carolina,FLO,34.1853,-79.7239,1436.0
320,Greenville-Spartanburg International Airport,Greenville,South Carolina,GSP,34.7167,-82.1833,3500.0
321,Hilton Head Airport,Hilton Head Island,South Carolina,HHH,32.2244,-80.6975,131.0
322,Myrtle Beach International Airport,Myrtle Beach,South Carolina,MYR,33.6797,-78.9283,3795.0
323,Aberdeen Regional Airport,Aberdeen,South Dakota,ABR,57.2025,-2.1981,1284.0
324,Rapid City Regional Airport,Rapid City,South Dakota,RAP,44.076,-103.228,1655.0
325,Sioux Falls Regional Airport,Sioux Falls,South Dakota,FSD,43.5819,-96.7419,1570.0
326,Tri-Cities Regional Airport,Bristol,Tennessee,TRI,36.4753,-82.4075,2384.0
327,Chattanooga Metropolitan Airport,Chattanooga,Tennessee,CHA,35.0353,-85.2039,950.0
328,McGhee Tyson Airport,Knoxville,Tennessee,TYS,35.8111,-83.9939,2384.0
329,Memphis International Airport,Memphis,Tennessee,MEM,35.0425,-89.9767,3900.0
330,Nashville International Airport,Nashville,Tennessee,BNA,36.1267,-86.6819,3900.0
331,Abilene Regional Airport,Abilene,Texas,ABI,32.4132,-99.6831,1644.0
332,Rick Husband Amarillo International Airport,Amarillo,Texas,AMA,35.2194,-101.7058,2384.0
333,Austin-Bergstrom International Airport,Austin,Texas,AUS,30.1944,-97.67,4242.0
334,Jack Brooks Regional Airport,Beaumont,Texas,BPT,29.950833,-94.020556,1799.0
335,Brownsville/South Padre Island International Airport,Brownsville,Texas,BRO,25.9069,-97.4258,2384.0
336,Easterwood Airport,College Station,Texas,CLL,30.6744,-96.37,700.0
337,Corpus Christi International Airport,Corpus Christi,Texas,CRP,27.7428,-97.4019,2457.0
338,Dallas Love Field,Dallas,Texas,DAL,32.8472,-96.8517,2384.0
